File Name,Execution Time (seconds)
full_arbiter_unreal13_6.tlsf,3.225991257
full_arbiter_unreal13_7.tlsf,21.159395592
full_arbiter_unreal13_8.tlsf,Timeout
full_arbiter_unreal13_9.tlsf,Timeout
full_arbiter_unreal14_1.tlsf,.059530019
full_arbiter_unreal14_10.tlsf,Timeout
full_arbiter_unreal14_11.tlsf,Timeout
full_arbiter_unreal14_12.tlsf,Timeout
full_arbiter_unreal14_13.tlsf,Timeout
full_arbiter_unreal14_14.tlsf,Timeout
full_arbiter_unreal14_15.tlsf,Timeout
full_arbiter_unreal14_16.tlsf,Timeout
full_arbiter_unreal14_2.tlsf,.165151164
full_arbiter_unreal14_3.tlsf,.493041458
full_arbiter_unreal14_4.tlsf,5.833051777
full_arbiter_unreal14_5.tlsf,Timeout
full_arbiter_unreal14_6.tlsf,Timeout
full_arbiter_unreal14_7.tlsf,Timeout
full_arbiter_unreal14_8.tlsf,Timeout
full_arbiter_unreal14_9.tlsf,Timeout
full_arbiter_unreal16_8.tlsf,Timeout
full_arbiter_unreal22.tlsf,.057139029
full_arbiter_unreal23.tlsf,.083291553
full_arbiter_unreal24.tlsf,5.842668106
full_arbiter_unreal25.tlsf,Timeout
full_arbiter_unreal26.tlsf,Timeout
full_arbiter_unreal27.tlsf,Timeout
full_arbiter_unreal28.tlsf,.052809848
generalized_buffer2.tlsf,.786838464
generalized_buffer3.tlsf,Timeout
generalized_buffer4.tlsf,2.977990328
generalized_buffer5.tlsf,Timeout
generalized_buffer6.tlsf,Timeout
jarvis_gideon_a02758ea.tlsf,.068096459
jarvis_philippe_484face8.tlsf,.088648836
lazy_shades_problem_d6376bf9.tlsf,1.334503245
lift2.tlsf,.043345353
lift3.tlsf,.053703858
lift4.tlsf,.090884957
lift_unary_enc2.tlsf,.049474675
lift_unary_enc3.tlsf,.134146777
lift_unary_enc4.tlsf,2.365365187
lift_wrong_physics_unreal2.tlsf,.042661028
lift_wrong_physics_unreal3.tlsf,.054363118
lift_wrong_physics_unreal4.tlsf,.065429790
lilydemo01.tlsf,.026626055
lilydemo02.tlsf,.028004721
lilydemo03.tlsf,.033804954
lilydemo04.tlsf,.024592665
lilydemo05.tlsf,.024991992
lilydemo06.tlsf,.028569141
lilydemo07.tlsf,.026421269
lilydemo08.tlsf,.021694314
lilydemo09.tlsf,.019910517
lilydemo10.tlsf,.025226285
lilydemo11.tlsf,.023345369
lilydemo12.tlsf,.021285615
lilydemo13.tlsf,.020558585
lilydemo14.tlsf,.019066828
lilydemo15.tlsf,.022878888
lilydemo16.tlsf,.025333290
lilydemo17.tlsf,.023913238
lilydemo18.tlsf,.031842879
lilydemo19.tlsf,.040531048
lilydemo20.tlsf,.033617693
lilydemo21.tlsf,.119358454
lilydemo22.tlsf,.024527900
lilydemo23.tlsf,.018821941
lilydemo24.tlsf,.026518058
load_balancer10.tlsf,Timeout
load_balancer2.tlsf,.032078226
load_balancer3.tlsf,.037402008
load_balancer4.tlsf,.051133876
load_balancer5.tlsf,.233598561
load_balancer6.tlsf,2.174146971
load_balancer7.tlsf,28.471709373
load_balancer8.tlsf,Timeout
load_balancer9.tlsf,Timeout
load_balancer_unreal12_1.tlsf,.041582535
load_balancer_unreal12_10.tlsf,.068667529
load_balancer_unreal12_11.tlsf,.109635847
load_balancer_unreal12_12.tlsf,.182585284
load_balancer_unreal12_13.tlsf,.355568159
load_balancer_unreal12_14.tlsf,1.003684903
load_balancer_unreal12_15.tlsf,1.897956432
load_balancer_unreal12_16.tlsf,3.610536136
load_balancer_unreal12_2.tlsf,.054288400
load_balancer_unreal12_3.tlsf,.037539107
load_balancer_unreal12_4.tlsf,.043942663
load_balancer_unreal12_5.tlsf,.060709193
load_balancer_unreal12_6.tlsf,.041749680
load_balancer_unreal12_7.tlsf,.039488956
load_balancer_unreal12_8.tlsf,.047835944
load_balancer_unreal12_9.tlsf,.055155998
load_balancer_unreal13_1.tlsf,.038724251
load_balancer_unreal13_10.tlsf,.384487759
load_balancer_unreal13_11.tlsf,.746908348
load_balancer_unreal13_12.tlsf,1.690994930
load_balancer_unreal13_2.tlsf,.044768999
load_balancer_unreal13_3.tlsf,.040390372
load_balancer_unreal13_4.tlsf,.043595093
load_balancer_unreal13_5.tlsf,.044152510
load_balancer_unreal13_6.tlsf,.063862029
load_balancer_unreal13_7.tlsf,.070391541
load_balancer_unreal13_8.tlsf,.120519737
load_balancer_unreal13_9.tlsf,.201253714
load_balancer_unreal14_1.tlsf,.060361742
load_balancer_unreal14_10.tlsf,Timeout
load_balancer_unreal14_11.tlsf,Timeout
load_balancer_unreal14_12.tlsf,Timeout
load_balancer_unreal14_2.tlsf,.054308424
load_balancer_unreal14_3.tlsf,.069240097
load_balancer_unreal14_4.tlsf,.107725755
load_balancer_unreal14_5.tlsf,.486416970
load_balancer_unreal14_6.tlsf,2.491638058
load_balancer_unreal14_7.tlsf,16.526286847
load_balancer_unreal14_8.tlsf,Timeout
load_balancer_unreal14_9.tlsf,Timeout
load_balancer_unreal15_2.tlsf,.191846892
load_balancer_unreal15_3.tlsf,.288452444
load_balancer_unreal15_4.tlsf,1.478482452
load_balancer_unreal15_5.tlsf,26.035570814
load_balancer_unreal15_6.tlsf,Timeout
load_balancer_unreal15_7.tlsf,Timeout
load_balancer_unreal16_1.tlsf,.870705634
load_balancer_unreal16_2.tlsf,1.117528995
load_balancer_unreal16_3.tlsf,1.902017119
load_balancer_unreal16_4.tlsf,37.729613686
load_balancer_unreal16_5.tlsf,Timeout
load_balancer_unreal22.tlsf,.041155151
load_balancer_unreal23.tlsf,.044713215
load_balancer_unreal24.tlsf,.197072031
load_balancer_unreal25.tlsf,19.138226643
load_balancer_unreal26.tlsf,Timeout
load_balancer_unreal27.tlsf,Timeout
load_balancer_unreal28.tlsf,.054172036
ltl2dba01.tlsf,.019299595
ltl2dba02.tlsf,.019831533
ltl2dba03.tlsf,.017472056
ltl2dba04.tlsf,.018524790
ltl2dba05.tlsf,.021037441
ltl2dba06.tlsf,.018432434
ltl2dba07.tlsf,.019938471
ltl2dba08.tlsf,.021791098
ltl2dba09.tlsf,.019173526
ltl2dba10.tlsf,.021943938
ltl2dba11.tlsf,.020605744
ltl2dba12.tlsf,.018940984
ltl2dba13.tlsf,.017127493
ltl2dba14.tlsf,.017290375
ltl2dba15.tlsf,.025923063
ltl2dba16.tlsf,.020065779
ltl2dba17.tlsf,.018399215
ltl2dba18.tlsf,.019137243
ltl2dba19.tlsf,.017115085
ltl2dba20.tlsf,.021216890
ltl2dba21.tlsf,.017228006
ltl2dba22.tlsf,.018605200
ltl2dba23.tlsf,.018843772
ltl2dba24.tlsf,.017834783
ltl2dba25.tlsf,.017531504
ltl2dba26.tlsf,.017894178
ltl2dba27.tlsf,.017902754
ltl2dba_C21.tlsf,.020439379
ltl2dba_C210.tlsf,.021095667
ltl2dba_C2100.tlsf,.021494756
ltl2dba_C212.tlsf,.019661965
