1,2,3,4,5,6,7
1.166,0.633,0.643,0.766,0.509,0.627,1.220,
0.657,0.387,0.591,0.378,0.296,0.366,0.664,
0.498,0.288,0.286,0.436,0.207,0.282,0.508,
0.260,0.286,0.238,0.240,0.199,0.236,0.204,
0.353,0.365,0.387,0.359,0.282,0.459,0.201,
0.360,0.531,0.283,0.239,0.286,0.235,0.266,
0.590,0.536,0.626,0.548,0.441,0.483,0.620,
0.621,0.566,0.609,0.559,0.638,0.772,0.636,
0.465,0.406,0.371,0.400,0.371,0.507,0.641,
0.579,0.398,0.435,0.361,0.340,0.397,0.532,
0.169,0.180,0.153,0.139,0.136,0.135,0.000,
0.190,0.225,0.162,0.129,0.150,0.142,0.125,
0.174,0.171,0.183,0.173,0.128,0.176,0.133,
0.180,0.139,0.125,0.158,0.140,0.125,0.130,
0.174,0.173,0.181,0.177,0.133,0.117,0.000,
0.235,0.157,0.149,0.180,0.159,0.149,0.000,
0.186,0.165,0.120,0.191,0.148,0.126,0.000,
0.162,0.158,0.168,0.158,0.185,0.000,0.128,
0.455,0.414,0.439,0.418,0.385,0.554,0.422,
0.143,0.215,0.166,0.214,0.107,0.147,0.176,
0.266,0.255,0.155,0.256,0.216,0.200,0.241,
0.274,0.261,0.241,0.217,0.265,0.186,0.223,
0.302,0.370,0.343,0.302,0.328,0.221,0.213,
0.195,0.147,0.146,0.170,0.178,0.178,0.000,
0.387,0.301,0.293,0.272,0.281,0.212,0.198,
0.363,0.139,0.167,0.129,0.130,0.000,0.000,
0.153,0.180,0.129,0.146,0.146,0.109,0.000,
0.151,0.178,0.130,0.170,0.131,0.113,0.130,
0.148,0.120,0.158,0.179,0.160,0.133,0.000,
0.151,0.188,0.130,0.150,0.127,0.122,0.000,
0.146,0.183,0.133,0.152,0.153,0.125,0.000,
0.160,0.156,0.198,0.166,0.142,0.097,0.000,
0.148,0.175,0.136,0.147,0.146,0.171,0.000,
0.178,0.192,0.163,0.154,0.127,0.163,0.133,
0.180,0.185,0.178,0.102,0.197,0.121,0.000,
0.252,0.259,0.263,0.238,0.283,0.266,0.184,
0.527,0.429,0.390,0.375,0.379,0.377,0.377,
0.333,0.304,0.334,0.322,0.275,0.261,0.243,
0.185,0.201,0.192,0.172,0.179,0.106,0.000,
0.240,0.242,0.212,0.225,0.174,0.211,0.169,
0.184,0.190,0.178,0.192,0.148,0.127,0.000,
0.519,0.476,0.512,0.466,0.485,0.433,0.446,
0.172,0.141,0.138,0.151,0.131,0.159,0.000,
0.179,0.178,0.126,0.135,0.125,0.135,0.000,
0.169,0.141,0.132,0.123,0.136,0.158,0.000,
0.227,0.221,0.169,0.230,0.153,0.172,0.136,
0.187,0.185,0.119,0.126,0.127,0.123,0.000,
0.142,0.185,0.107,0.142,0.144,0.140,0.138,
0.207,0.144,0.174,0.123,0.145,0.126,0.147,
0.187,0.107,0.187,0.179,0.119,0.191,0.156,
0.206,0.193,0.198,0.170,0.129,0.158,0.000,
0.153,0.145,0.195,0.119,0.147,0.154,0.180,
0.203,0.182,0.146,0.182,0.170,0.224,0.000,
0.203,0.252,0.228,0.232,0.238,0.164,0.155,
0.099,0.113,0.130,0.119,0.094,0.000,0.000,
0.542,0.511,0.541,0.595,0.501,0.498,0.681,
0.649,0.571,0.619,0.559,0.572,0.823,0.916,
0.559,0.630,0.597,0.571,0.474,0.431,0.621,
0.447,0.452,0.404,0.296,0.402,0.000,0.000,
0.762,0.829,0.824,0.799,0.799,0.684,0.790,
0.804,0.877,0.724,0.788,0.696,0.778,0.555,
0.806,0.867,0.804,0.774,0.748,0.750,0.725,
0.663,0.848,0.775,0.751,0.779,0.705,0.617,
0.887,0.880,0.966,0.840,0.745,0.803,0.652,
0.682,0.840,0.754,0.748,0.790,0.741,0.555,
0.783,0.922,0.782,0.885,0.789,0.713,0.593,
0.916,0.857,0.769,0.838,0.771,0.719,0.740,
0.688,0.663,0.767,0.699,0.710,0.713,0.627,
0.871,0.778,0.728,0.794,0.733,0.847,0.726,
0.546,0.808,0.795,0.811,0.779,0.651,0.734,
0.772,0.865,0.736,0.810,0.871,0.710,0.581,
0.763,0.783,0.753,0.805,0.759,0.716,0.703,
0.814,0.898,0.664,0.794,0.642,0.730,0.696,
0.839,0.867,0.650,0.741,0.700,0.722,0.736,
0.792,0.834,0.865,0.764,0.797,0.689,0.723,
0.773,0.754,0.715,0.787,0.692,0.682,0.675,
0.819,0.849,0.735,0.786,0.748,0.830,0.644,
0.749,0.832,0.732,0.781,0.818,0.607,0.647,
0.296,0.297,0.327,0.260,0.270,0.284,0.209,
13.195,11.493,Infinity,Infinity,Infinity,Infinity,,
0.840,0.957,0.914,0.875,0.948,0.825,0.822,
0.305,0.286,0.266,0.273,0.252,0.250,0.246,
0.826,0.898,0.816,0.768,0.781,0.729,0.811,
0.805,0.833,0.890,0.745,0.741,0.686,0.816,
0.829,0.912,0.756,0.850,0.810,0.806,0.934,
0.845,0.935,0.831,0.901,0.792,0.734,0.874,
0.753,0.822,0.854,0.760,0.745,0.805,0.822,
0.796,0.833,0.799,0.879,0.768,0.871,0.690,
0.744,0.676,0.792,0.839,0.761,0.809,0.722,
0.799,0.724,0.587,0.885,0.573,0.613,0.494,
