1,2,3,4,5,6,7
1.091,0.865,0.565,0.000,0.000,0.000,,
1.040,1.036,0.744,0.508,0.473,0.526,0.523,
5.391,9.017,Infinity,Infinity,,,,
Infinity,Infinity,Infinity,,,,,
0.834,0.716,0.791,0.688,,,,
5.395,8.500,Infinity,Infinity,,,,
5.342,9.334,Infinity,Infinity,,,,
15.421,Infinity,Infinity,Infinity,,,,
7.015,9.761,Infinity,Infinity,,,,
0.815,0.656,0.635,0.687,,,,
0.637,0.637,0.689,0.689,,,,
0.768,0.733,0.715,0.734,,,,
5.625,9.393,Infinity,Infinity,,,,
0.666,0.697,0.817,1.072,,,,
0.985,0.992,0.907,1.069,,,,
0.706,0.838,0.674,0.916,,,,
Infinity,Infinity,,,,,,
0.815,0.730,0.274,0.437,0.552,0.320,0.000,
0.782,0.793,0.416,0.596,0.651,0.702,0.560,
0.640,0.430,0.211,0.398,0.369,0.301,0.000,
0.964,0.922,1.023,0.944,1.089,0.901,0.596,
6.550,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,
0.877,0.946,1.073,0.961,1.085,0.802,0.549,
2.328,4.394,5.618,5.316,Infinity,Infinity,
1.397,1.001,0.956,1.009,1.470,1.013,
2.377,3.000,4.763,5.755,Infinity,,
2.659,4.694,5.050,5.280,Infinity,Infinity,
2.108,4.052,4.357,4.995,Infinity,,
1.323,1.973,2.609,2.568,3.907,Infinity,
1.754,2.358,2.782,2.446,2.869,Infinity,
1.199,1.789,1.829,1.846,2.071,2.537,
2.005,4.462,5.654,4.787,Infinity,Infinity,
1.858,3.700,5.905,4.676,Infinity,Infinity,
1.077,1.057,1.088,1.039,1.052,1.122,1.009,
1.104,1.079,1.098,0.935,0.758,1.091,1.059,
1.047,1.050,1.126,1.006,1.072,1.062,1.051,
1.783,1.079,1.037,1.015,1.028,1.133,1.069,
1.137,1.144,1.069,1.018,1.061,1.049,1.060,
1.220,1.074,1.056,1.041,1.050,1.092,0.951,
1.116,1.114,1.067,1.042,1.036,1.057,1.040,
1.153,1.079,1.041,1.160,1.051,1.099,1.069,
0.371,0.559,0.548,0.429,0.375,0.000,
0.798,0.592,0.471,0.554,0.000,0.000,
0.818,0.679,0.563,0.436,0.386,0.000,
0.600,0.730,0.585,0.555,0.644,0.000,
0.585,0.684,0.554,0.420,0.290,0.000,
0.383,0.609,0.519,0.539,0.430,0.000,
0.465,0.512,0.548,0.508,0.384,0.000,
0.412,0.523,0.523,0.475,0.379,0.000,
0.322,0.696,0.428,0.437,0.345,0.000,
0.205,0.487,0.420,0.305,0.244,0.000,
0.320,0.719,0.603,0.458,0.328,0.000,
0.385,0.521,0.559,0.415,0.240,0.000,
0.390,0.593,0.577,0.501,0.354,0.000,
0.411,0.669,0.661,0.488,0.420,0.000,
0.579,0.926,0.583,0.000,0.701,,,
