1,2,3,4,5,6,7
0.517,0.349,0.499,0.402,0.338,0.691,0.413,
0.656,0.810,0.679,0.807,0.788,0.414,0.637,
0.355,0.384,0.332,0.412,0.433,0.400,0.438,
0.988,1.401,1.339,1.395,1.246,1.130,2.281,
1.225,0.743,1.543,1.673,0.814,1.159,2.573,
0.550,0.353,0.768,0.972,0.527,1.022,1.534,
1.282,0.851,0.873,0.883,0.732,1.037,3.178,
1.050,0.848,0.666,0.775,0.758,1.377,1.236,
1.518,0.982,0.837,1.119,0.877,1.304,2.559,
2.120,2.201,2.013,1.610,1.816,2.018,4.772,
1.445,0.954,0.835,0.762,0.792,1.467,1.215,
1.336,0.716,0.895,0.848,0.948,1.424,2.838,
1.014,0.661,0.676,1.009,0.711,1.020,0.973,
0.735,0.741,0.588,0.707,0.731,0.706,0.909,
0.949,0.777,1.254,1.138,0.986,0.941,1.536,
0.892,0.975,0.860,1.101,0.955,0.994,1.396,
0.784,0.664,0.611,0.687,0.656,0.730,1.088,
1.010,0.926,0.999,0.679,1.019,1.103,1.465,
1.213,0.704,0.887,1.901,0.823,1.080,0.908,
1.220,0.727,0.944,0.879,0.802,1.115,0.903,
0.797,1.027,0.869,1.768,0.789,1.183,2.245,
1.171,1.032,0.762,0.822,0.821,1.049,1.951,
0.908,0.792,0.952,0.822,0.765,1.113,1.540,
0.980,0.767,1.496,0.831,0.812,1.016,1.851,
0.924,0.717,0.942,0.959,1.013,0.890,0.942,
1.207,0.666,0.797,0.858,0.834,0.940,0.606,
1.325,0.958,0.527,1.485,0.604,0.938,1.589,
0.962,0.892,0.848,1.353,0.841,1.270,1.781,
0.809,0.752,0.729,0.760,0.734,0.743,0.775,
1.140,0.981,1.120,0.941,0.748,0.947,1.844,
2.833,1.844,1.805,1.951,0.960,1.217,3.861,
1.084,0.914,1.032,0.906,0.650,1.037,1.110,
1.183,0.855,1.234,1.775,0.982,1.012,3.266,
1.247,0.751,1.041,1.590,0.842,1.068,2.762,
3.301,4.445,3.057,4.921,2.315,Infinity,Infinity,
2.476,1.446,4.384,2.577,2.066,2.946,Infinity,
1.201,0.737,1.056,1.544,0.738,1.137,2.824,
0.388,0.703,0.414,0.371,0.352,0.490,0.473,
0.762,1.014,0.976,0.814,1.102,1.923,0.646,
0.681,1.202,0.891,0.703,0.849,0.919,1.065,
1.185,1.611,1.257,1.669,1.410,1.536,1.807,
1.076,0.937,1.632,1.044,1.008,2.187,1.378,
1.211,1.215,0.946,1.450,1.313,1.741,3.148,
1.880,1.196,0.929,1.595,1.342,1.368,3.272,
0.263,0.605,0.206,0.447,0.453,0.559,0.000,
0.279,0.369,0.348,0.396,0.231,0.224,0.441,
0.485,0.325,0.260,0.256,0.516,0.309,0.692,
0.585,0.224,0.238,0.371,0.548,0.436,0.478,
0.243,0.374,0.247,0.423,0.527,0.280,0.000,
0.313,0.514,0.392,0.496,0.542,0.669,0.000,
0.257,0.284,0.279,0.484,0.524,0.305,0.000,
0.248,0.209,0.230,0.288,0.798,0.000,0.417,
0.702,0.526,0.646,0.513,0.544,0.999,0.548,
0.417,0.327,0.239,0.482,0.278,0.245,0.307,
0.844,0.420,0.267,0.879,0.350,0.818,0.909,
0.492,0.514,0.409,0.411,0.508,0.433,0.506,
0.608,0.604,0.491,0.595,0.675,0.496,0.478,
0.304,0.250,0.211,0.457,0.677,0.188,0.000,
0.654,0.498,0.486,0.452,0.563,0.372,0.403,
0.467,0.359,0.248,0.314,0.341,0.000,0.000,
0.376,0.293,0.182,0.508,0.550,0.263,0.000,
0.259,0.594,0.197,0.258,0.466,0.207,0.435,
0.245,0.183,0.223,0.243,0.300,0.373,0.000,
0.234,0.267,0.307,0.272,0.488,0.348,0.000,
0.239,0.310,0.176,0.253,0.253,0.485,0.000,
0.248,0.231,0.268,0.261,0.444,0.261,0.000,
0.411,0.273,0.300,0.398,0.249,0.362,0.000,
0.259,0.280,0.221,0.242,0.494,0.344,0.345,
0.447,0.312,0.405,0.543,0.781,0.292,0.000,
0.440,0.495,0.664,0.511,0.684,1.013,0.521,
0.634,0.704,0.633,0.677,0.710,0.696,0.651,
0.469,0.598,0.533,0.576,0.716,0.660,0.400,
0.302,0.295,0.615,0.283,0.304,0.243,0.000,
0.393,0.696,0.384,0.728,0.627,0.716,0.544,
0.268,0.369,0.526,0.351,0.351,0.362,0.000,
0.784,0.801,0.885,0.709,0.808,0.757,0.791,
0.268,0.205,0.185,0.524,0.427,0.689,0.000,
0.295,0.587,0.248,0.449,0.456,0.344,0.000,
0.264,0.472,0.179,0.363,0.532,0.582,0.000,
0.381,0.756,0.239,0.819,0.541,0.470,0.349,
0.297,0.576,0.159,0.407,0.502,0.347,0.000,
0.253,0.276,0.254,0.241,0.275,0.585,0.649,
0.671,0.312,0.335,0.320,0.397,0.401,0.251,
0.298,0.207,0.461,0.505,0.415,0.349,0.240,
0.338,0.405,0.322,0.749,0.367,0.578,0.000,
0.281,0.245,0.291,0.183,0.336,0.271,0.374,
0.314,0.282,0.267,0.430,0.327,0.475,0.000,
0.578,0.390,0.605,0.708,0.936,0.653,0.512,
0.279,0.357,0.372,0.430,0.374,0.000,0.000,
0.915,0.826,0.917,1.685,1.082,1.111,1.894,
1.666,0.874,0.846,2.165,2.410,2.674,2.289,
0.918,0.918,0.782,0.692,0.664,0.688,0.820,
0.541,0.554,0.500,0.386,0.524,0.000,0.000,
1.483,1.407,1.302,1.496,1.468,1.355,2.062,
1.463,1.467,1.219,1.638,1.876,1.896,0.896,
1.491,1.412,1.563,1.395,1.385,1.944,1.961,
1.046,1.383,1.308,1.266,1.567,1.733,1.508,
1.725,1.539,2.450,1.520,1.958,1.823,1.675,
1.065,1.397,1.346,1.453,1.663,1.809,0.953,
1.487,2.077,1.400,1.263,1.404,1.573,1.695,
1.761,1.274,1.353,1.301,1.752,1.612,2.039,
1.053,1.031,1.256,1.045,1.065,1.191,1.023,
1.935,1.601,1.476,1.264,1.780,1.529,2.004,
1.685,1.452,1.497,1.584,1.718,1.861,1.962,
1.391,1.384,1.455,1.653,1.434,1.591,1.104,
1.351,1.271,1.170,1.615,1.717,1.498,1.877,
1.470,1.474,1.051,1.659,1.027,1.561,1.988,
1.378,1.407,1.166,1.516,1.824,1.452,2.058,
1.600,1.375,1.545,1.385,2.051,1.528,2.006,
1.501,1.197,1.397,1.652,1.187,1.469,1.949,
1.308,1.370,1.398,1.564,1.259,1.344,1.923,
1.463,1.353,1.350,1.562,1.316,1.168,2.037,
0.620,0.471,0.561,0.435,0.720,0.629,0.536,
12.661,Infinity,Infinity,Infinity,Infinity,Infinity,,
1.693,1.595,2.409,1.732,2.344,1.842,2.303,
0.441,0.451,0.418,0.442,0.437,0.541,0.616,
1.574,1.413,1.566,1.592,1.479,1.594,2.423,
1.548,1.367,1.484,1.666,1.630,1.213,2.284,
1.526,1.488,1.926,1.676,1.716,2.000,2.658,
1.622,1.485,2.214,1.775,1.806,1.768,2.403,
1.492,1.389,1.451,1.551,1.372,1.396,2.323,
1.346,1.290,1.481,1.538,1.715,1.475,2.013,
1.414,1.707,1.396,1.672,1.422,1.823,2.051,
1.489,1.109,1.004,1.759,0.984,1.072,0.999,
